PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Dalano Banton,TOR,22,64,37,27,695.7,205,41.1,25.5,59.1,38,86,124,99,53,28,10,68,0,0,34,2021-22,1,0
Lindy Waters III,OKC,24,25,6,19,465.3,199,40.6,36.3,80.0,6,67,73,24,11,19,8,31,0,0,-39,2021-22,1,0
Day'Ron Sharpe,BKN,20,32,12,20,390.7,198,57.7,28.6,58.5,81,79,160,17,30,10,15,60,2,0,57,2021-22,1,0
Vit Krejci,OKC,22,30,8,22,689.9,187,40.7,32.7,86.4,18,83,101,57,29,19,8,65,1,0,-179,2021-22,1,0
Luka Garza,DET,23,32,3,29,389.0,186,44.9,32.7,62.3,58,42,100,20,18,9,6,55,2,0,-63,2021-22,1,0
Keifer Sykes,IND,28,32,6,26,566.4,180,36.3,30.0,88.2,8,37,45,62,33,12,4,51,0,0,-69,2021-22,1,0
Jared Butler,UTA,21,42,31,11,359.8,161,40.4,31.8,68.8,5,40,45,63,33,17,8,47,0,0,-11,2021-22,1,0
Sandro Mamukelashvili,MIL,23,41,22,19,407.0,154,49.6,42.3,81.8,35,47,82,22,15,9,9,28,1,0,-145,2021-22,1,0
Olivier Sarr,OKC,23,22,6,16,420.9,153,57.4,44.8,82.8,34,59,93,19,22,6,15,52,1,0,-28,2021-22,1,0
James Bouknight,CHA,21,31,15,16,304.5,142,34.8,34.7,87.1,22,30,52,26,15,7,1,29,0,0,-50,2021-22,1,0
Santi Aldama,MEM,21,32,20,12,359.8,132,40.2,12.5,62.5,33,54,87,21,16,6,10,36,2,0,16,2021-22,1,0
Isaiah Livers,DET,23,19,8,11,383.3,121,45.6,42.2,85.7,15,42,57,21,15,13,7,37,1,0,-10,2021-22,1,0
Ish Wainright,PHX,27,45,36,9,358.7,108,39.4,32.2,58.3,27,27,54,15,13,20,6,49,0,0,39,2021-22,1,0
David Duke Jr.,BKN,22,22,10,12,341.1,104,36.1,24.3,81.0,30,37,67,17,9,14,7,36,2,0,-10,2021-22,1,0
